"","FarmID","SampleTime","Sampling","Loc","University","CertYear","HouseStyle","PastureTime","StockDen","Bed","BedAdd","BedAddFreq","StallCleanFreq","CowNum","MilkFreq","PplNumPerWk","PplNumPerShift","NonFamEmp","NonFamEmpNum","FullEmpNum","PartEmp","PartEmpNum","Glove","GloveFreq","PreDipType","PostDip","PostDipType","UdderSti","ClipFlame","CowMilkLoc","Parlor","CowParlorClean","CowWaitMilk","CowHoldClean","TeatEndScore","UdderHygScore","TowelType","CowTowelWipe","CornSilage","Haylage","CornMeal","DryHay","Baleage","GrassSillage","Earlage","Snaplage","BioFeedAdd","DryMatPercent","FeedPurchase","Coop","ClosedHerd","Test","GreaterLess","Conc","HoldHose","HoldManScrap","HoldFluSys","HoldScrBru","ParlorHose","ParlorManScrap","ParlorFluSys","ParlorDeter","ParlorScrBru","ParlorRobot","TowelChloDeter","TowelDeter","TowelBleac","TowelMacDry","TowelLaundry","TowelVinegar","TowelWashMac","SPCvar","tempmax","tempmin","temp","humidity","precip","precipcover","windgust","windspeed","solarradiation","tempmax_1d","tempmin_1d","temp_1d","humidity_1d","precip_1d","precipcover_1d","windgust_1d","windspeed_1d","solarradiation_1d","tempmax_2d","tempmin_2d","temp_2d","humidity_2d","precip_2d","precipcover_2d","windgust_2d","windspeed_2d","solarradiation_2d","tempmax_3d","tempmin_3d","temp_3d","humidity_3d","precip_3d","precipcover_3d","windgust_3d","windspeed_3d","solarradiation_3d"
"1","R1","2021-05-13","A","PA","PSU",20,"Tie stalls or stanchions",7,1,"Straw","limestone","1x per day","< 1x/day",33,"2x",2,2,"No",0,0,"No",0,"Yes","1","Hydrogen peroxide based","Yes","Iodine based","Forestripping","No","Stall/barn","No","Yes","No","No holding area","No","No","Paper","0-1","Yes","Yes","Yes","Yes","No","No","No","No","None","< 40%","Yes","Organic Valley","Yes","BAB","=",40,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.518734533761749,20,4.4,13.6,43.9,0,0,37.1,16,356.3,18.6,4.8,12.1,44.7,0,0,33.5,19.1,399.8,17.2,6.9,12.5,49.6,0,0,48.3,24.9,319.7,16.2,8.6,11.9,67.3,0,0,35.3,22.8,271.8
"2","R1","2021-05-13","A","PA","PSU",20,"Tie stalls or stanchions",7,1,"Straw","limestone","1x per day","< 1x/day",33,"2x",2,2,"No",0,0,"No",0,"Yes","1","Hydrogen peroxide based","Yes","Iodine based","Forestripping","No","Stall/barn","No","Yes","No","No holding area","No","No","Paper","0-1","Yes","Yes","Yes","Yes","No","No","No","No","None","< 40%","Yes","Organic Valley","Yes","MSC","=",1.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.518734533761749,20,4.4,13.6,43.9,0,0,37.1,16,356.3,18.6,4.8,12.1,44.7,0,0,33.5,19.1,399.8,17.2,6.9,12.5,49.6,0,0,48.3,24.9,319.7,16.2,8.6,11.9,67.3,0,0,35.3,22.8,271.8
"3","R1","2021-05-13","A","PA","PSU",20,"Tie stalls or stanchions",7,1,"Straw","limestone","1x per day","< 1x/day",33,"2x",2,2,"No",0,0,"No",0,"Yes","1","Hydrogen peroxide based","Yes","Iodine based","Forestripping","No","Stall/barn","No","Yes","No","No holding area","No","No","Paper","0-1","Yes","Yes","Yes","Yes","No","No","No","No","None","< 40%","Yes","Organic Valley","Yes","APC","=",450.1531219,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.518734533761749,20,4.4,13.6,43.9,0,0,37.1,16,356.3,18.6,4.8,12.1,44.7,0,0,33.5,19.1,399.8,17.2,6.9,12.5,49.6,0,0,48.3,24.9,319.7,16.2,8.6,11.9,67.3,0,0,35.3,22.8,271.8
"4","R1","2021-05-13","A","PA","PSU",20,"Tie stalls or stanchions",7,1,"Straw","limestone","1x per day","< 1x/day",33,"2x",2,2,"No",0,0,"No",0,"Yes","1","Hydrogen peroxide based","Yes","Iodine based","Forestripping","No","Stall/barn","No","Yes","No","No holding area","No","No","Paper","0-1","Yes","Yes","Yes","Yes","No","No","No","No","None","< 40%","Yes","Organic Valley","Yes","TSC","=",1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.518734533761749,20,4.4,13.6,43.9,0,0,37.1,16,356.3,18.6,4.8,12.1,44.7,0,0,33.5,19.1,399.8,17.2,6.9,12.5,49.6,0,0,48.3,24.9,319.7,16.2,8.6,11.9,67.3,0,0,35.3,22.8,271.8
"5","R1","2021-05-13","A","PA","PSU",20,"Tie stalls or stanchions",7,1,"Straw","limestone","1x per day","< 1x/day",33,"2x",2,2,"No",0,0,"No",0,"Yes","1","Hydrogen peroxide based","Yes","Iodine based","Forestripping","No","Stall/barn","No","Yes","No","No holding area","No","No","Paper","0-1","Yes","Yes","Yes","Yes","No","No","No","No","None","< 40%","Yes","Organic Valley","Yes","PSC","=",0.02,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.518734533761749,20,4.4,13.6,43.9,0,0,37.1,16,356.3,18.6,4.8,12.1,44.7,0,0,33.5,19.1,399.8,17.2,6.9,12.5,49.6,0,0,48.3,24.9,319.7,16.2,8.6,11.9,67.3,0,0,35.3,22.8,271.8
"6","R1","2021-09-15","B","PA","PSU",20,"Tie stalls or stanchions",10,1,"Straw","limestone","1x per day","1x/day",33,"2x",2,2,"No",0,0,"No",0,"Yes","1","Hydrogen peroxide based","Yes","Iodine based","Forestripping","No","Stall/barn","No","Yes","No","No holding area","No","No","Paper","0-1","Yes","No","Yes","Yes","Yes","No","No","No","None","< 40%","Yes","Organic Valley","Yes","BAB","=",4.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.518734533761749,30,20.6,24.7,79.1,7.858,16.67,55.4,16.8,263.3,29.1,19.3,24.1,79.9,0,0,0,9,190.9,28.5,20.7,24.5,75.6,0,0,0,17,220,28.4,16.7,22.2,73.1,0,0,31.7,15.7,258.4
"7","R1","2021-09-15","B","PA","PSU",20,"Tie stalls or stanchions",10,1,"Straw","limestone","1x per day","1x/day",33,"2x",2,2,"No",0,0,"No",0,"Yes","1","Hydrogen peroxide based","Yes","Iodine based","Forestripping","No","Stall/barn","No","Yes","No","No holding area","No","No","Paper","0-1","Yes","No","Yes","Yes","Yes","No","No","No","None","< 40%","Yes","Organic Valley","Yes","TSC","=",2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.518734533761749,30,20.6,24.7,79.1,7.858,16.67,55.4,16.8,263.3,29.1,19.3,24.1,79.9,0,0,0,9,190.9,28.5,20.7,24.5,75.6,0,0,0,17,220,28.4,16.7,22.2,73.1,0,0,31.7,15.7,258.4
"8","R1","2021-09-15","B","PA","PSU",20,"Tie stalls or stanchions",10,1,"Straw","limestone","1x per day","1x/day",33,"2x",2,2,"No",0,0,"No",0,"Yes","1","Hydrogen peroxide based","Yes","Iodine based","Forestripping","No","Stall/barn","No","Yes","No","No holding area","No","No","Paper","0-1","Yes","No","Yes","Yes","Yes","No","No","No","None","< 40%","Yes","Organic Valley","Yes","APC","=",2064.438721,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.518734533761749,30,20.6,24.7,79.1,7.858,16.67,55.4,16.8,263.3,29.1,19.3,24.1,79.9,0,0,0,9,190.9,28.5,20.7,24.5,75.6,0,0,0,17,220,28.4,16.7,22.2,73.1,0,0,31.7,15.7,258.4
"9","R1","2021-09-15","B","PA","PSU",20,"Tie stalls or stanchions",10,1,"Straw","limestone","1x per day","1x/day",33,"2x",2,2,"No",0,0,"No",0,"Yes","1","Hydrogen peroxide based","Yes","Iodine based","Forestripping","No","Stall/barn","No","Yes","No","No holding area","No","No","Paper","0-1","Yes","No","Yes","Yes","Yes","No","No","No","None","< 40%","Yes","Organic Valley","Yes","MSC","=",4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.518734533761749,30,20.6,24.7,79.1,7.858,16.67,55.4,16.8,263.3,29.1,19.3,24.1,79.9,0,0,0,9,190.9,28.5,20.7,24.5,75.6,0,0,0,17,220,28.4,16.7,22.2,73.1,0,0,31.7,15.7,258.4
"10","R1","2021-09-15","B","PA","PSU",20,"Tie stalls or stanchions",10,1,"Straw","limestone","1x per day","1x/day",33,"2x",2,2,"No",0,0,"No",0,"Yes","1","Hydrogen peroxide based","Yes","Iodine based","Forestripping","No","Stall/barn","No","Yes","No","No holding area","No","No","Paper","0-1","Yes","No","Yes","Yes","Yes","No","No","No","None","< 40%","Yes","Organic Valley","Yes","PSC","<",0.02,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.518734533761749,30,20.6,24.7,79.1,7.858,16.67,55.4,16.8,263.3,29.1,19.3,24.1,79.9,0,0,0,9,190.9,28.5,20.7,24.5,75.6,0,0,0,17,220,28.4,16.7,22.2,73.1,0,0,31.7,15.7,258.4
